,TWEET,USERNAME,DATE,TIME,MANUAL,bertweet_label,bertweet_score,robertweet_label,robertweet_score,emotiontweet_label,emotiontweet_score,flairtweet_label,flairtweet_score,zeroshot_label,zeroshot_score
24,only  of canadians traveled internationally last month so theyre responsible for a disproportionate number of new cases setting off a wave that will affect  of us negatively and lead to closures illness and deaths just not to inconvenience that  is indefensible,lisa_iannattone,2021-08-14,0:37:31,1,negative,0.94139868,negative,0.921761632,anger,0.323261321,negative,0.995719731,negative,0.551944315
25,this makes me sad,MatthewOughton,2021-08-14,16:38:55,0,negative,0.972969711,negative,0.972200334,sadness,0.998364389,negative,0.957391381,negative,0.447923362
26,there are many benefits associated with inperson school the education part is so important but theres the physical aspect and the social and emotional health aspect,mch_childrens,2021-08-15,23:09:00,0,positive,0.941670179,positive,0.849450469,joy,0.995493054,positive,0.990214169,positive,0.500052094
27,myth the vaccine is experimentalreality  prior to approval studies were done on tens of thousands of people the vaccine has already been administered to billion people  the vaccine reduces transmission serious illness amp death from vaccines work,AmitAryaMD,2021-08-16,14:59:52,0,neutral,0.587530315,neutral,0.528246403,joy,0.429167926,negative,0.996137321,negative,0.496668249
28,icelands outbreak actually illustrates how effective the vaccines are at preventing the viruss most severe impacts overwhelmingly mild disease and no deaths to date small minority admitted to hospital preventing strain of the healthcare system this is how the vaccine work,DocDominik,2021-08-17,1:00:03,0,positive,0.673425376,positive,0.697278202,joy,0.867252767,positive,0.978711963,positive,0.365453154
29,an ltc facility where i work has a  staff vaccination rateanother ltc facility in etobicoke has a  staff vaccination rate amp now two deaths from this variability is dangerouswhy didnt ontario mandate vaccines for health workers earlier every day counts,AmitAryaMD,2021-08-17,15:39:49,0,negative,0.961919427,negative,0.9057796,anger,0.91360122,negative,0.999782741,negative,0.420279741
30,great kt tool  causes of memory loss,dr_alexandrap,2021-08-18,0:47:07,0,negative,0.922450423,neutral,0.485254258,sadness,0.925257146,positive,0.994084775,negative,0.373386323
31,i always focus on hospital admissions  but the uncoupling of cases to hospital admissionsicudeaths only occurs in those vaccinated  the more we vaccinate the less likely is that we will get into another icu bed strain going into winter,DocDominik,2021-08-18,13:59:48,0,neutral,0.618264198,neutral,0.539819598,fear,0.720632911,negative,0.980931938,negative,0.478282958
32,its a sad state of affairs if youre calling on the government to be as efficient about reconciliation as it was about assimilation murray sinclair on reconciliation anger unmarked gravesand a headline for this story ,JohnsonNeilG,2021-08-19,13:12:20,0,negative,0.934569001,negative,0.768599212,joy,0.967177153,negative,0.998098314,negative,0.406870127
33,now that this world has turned into a yazid i will return to the soil of karbala where hussain teaches me love and death teaches me victoryartwork,zikrejaana,2021-08-19,14:28:09,0,neutral,0.879223764,neutral,0.645349145,joy,0.953830481,positive,0.939097822,positive,0.400206
34,said seems rather like they really want us to opt out of lifethats whats so sad as expands to provide relief from social life suffering vs relief from a painful death it reflects us giving up on our fellow human beings under the pretense of autonomy,Psych_MD,2021-08-20,21:54:21,0,negative,0.919722438,negative,0.926487505,sadness,0.992172122,negative,0.995646775,negative,0.362977266
35,this  we have been more optimistic going into fall as we expected the vaccine uptake to not drop as badly as it did since peak in july and now we see again an increasing wave of unvaccinated people requiring hospital admissions sad and preventable at this point,DocDominik,2021-08-21,14:47:39,1,negative,0.910087645,negative,0.489901781,joy,0.656080008,negative,0.968323171,negative,0.427445233
36,greatly appreciate everything you have done  your advocacy has saved so many lives a sad day for all in ontario,AmitAryaMD,2021-08-23,11:30:53,0,positive,0.966179371,positive,0.971831977,joy,0.660741329,positive,0.988129497,positive,0.503019691
37,alex i work in quebecs busiest er our province is  double vaxd since the vaxs came out ive seen bells palsy and case of hives that may have been related to the vax no pattern of unusual neuro or cardiac deaths vax deaths or sig illness is just not a thing here,postgradw,2021-08-23,12:45:50,0,negative,0.819376171,negative,0.715995312,fear,0.546598732,negative,0.999899387,negative,0.513062239
38,one hundred percent but young males while getting sick to variable degrees a small percentage about per million  are rarely if ever dying from it i was responding to your comment earlier in the thread implying there was an issue around impt of vax related deaths,postgradw,2021-08-23,13:20:14,0,negative,0.776912808,neutral,0.555745542,anger,0.946776271,negative,0.999858141,negative,0.50067091
39,btw  there were vax deaths relating to vitt from the jampj vaccine and astrazeneca here in canada relatively low  tragic as they were a problem was recognized and was acted upon we are currently giving the mrna vaccines almost uniquely in canada now,postgradw,2021-08-23,13:23:43,0,negative,0.939258337,neutral,0.546357572,sadness,0.992967725,negative,0.654065788,negative,0.499638766
40,found something so will save you some work from they agree that rates in  grp are million but vaxing males  could prevent covid cases hospitalisations icu deathsand most myocarditis resolve spontaneously,postgradw,2021-08-23,17:32:02,0,neutral,0.919707179,neutral,0.657151461,joy,0.901411355,negative,0.931382596,negative,0.483578891
41,so worth a discussion about riskbenefit esp in young males but remember were not talking deaths here from myocarditis for what its worth my yr old son and yr old daughter are fully vaccinated as are the entire families of all my ed md colleagues those eligible,postgradw,2021-08-23,17:37:13,0,neutral,0.823004067,neutral,0.553111911,joy,0.986221552,positive,0.947991729,negative,0.355560213
42,kitna aasaan tha teray hijr mai marna jaanaphir bhe ik umr lage jaan say jatay jatay ahmad farazremembering sahib on his death anniversary,zikrejaana,2021-08-25,14:27:31,0,neutral,0.975033581,neutral,0.808429241,joy,0.500603855,positive,0.992679596,negative,0.541696668
43,my sun starts grade today the pride in my heart is pushing out the sadness i want to be there i want to envelop him in the biggest hug,DrNadiaChaudhri,2021-08-26,12:14:01,0,positive,0.987381518,positive,0.929345787,love,0.465891838,positive,0.999190032,negative,0.353824109
44,our pregnancy patient guide is designed to help people ask questions if they are in the and have pain or bleeding or think they may be having a miscarriage it can also help with followup care after a loss,OntarioHealthOH,2021-08-27,13:55:04,0,neutral,0.8932513,neutral,0.7226336,sadness,0.555399179,positive,0.979609072,positive,0.356878251
45,headline ontarios ltc minister defends shotortest policy for ltc staffthe real headline even after deaths during the first two waves ontarios ltc minister continues to endanger the lives of ltc residents by refusing to actually mandate vaccines for all ltc staff,AmitAryaMD,2021-08-27,21:11:11,1,negative,0.962450385,negative,0.849148333,anger,0.823598146,negative,0.950233817,negative,0.39571625
46,rt  the screening form lists the following symptoms fever andor chills coughing or barking cough croup shortness of breath decrease or loss of taste or smell nausea vomiting andor diarrhea,allan_k_grillMD,2021-08-28,4:18:27,0,negative,0.914273441,negative,0.731238842,fear,0.85863167,negative,0.999987602,negative,0.432514906
47,rt amp  catching the virus before it spreads will also help reduce the risk of school outbreaks and closures keeping more kids in classrooms and limiting learning losses for students,allan_k_grillMD,2021-08-28,4:46:51,0,neutral,0.766048431,neutral,0.565691233,fear,0.375787944,positive,0.995149314,negative,0.462591529
48,infectionvaccine  prior covid  hospitalizationvaccine  prior covid  deathsvaccine   prior covid   ,wlharper1,2021-08-28,15:03:48,0,neutral,0.976134181,neutral,0.568267047,fear,0.710626125,negative,0.992527962,negative,0.528317869
49,these small numbers make it difficult to ascertain if the differences between vaccine and prior covid are real or statistical anomalieswhats striking is that both are very protective against symptomatic illness hospitalization and death,wlharper1,2021-08-28,15:08:23,0,neutral,0.84677124,neutral,0.532778502,love,0.840428174,positive,0.790092647,negative,0.358074248
50,the rates would tell a more compelling story right  vaxxed means a much lower rate of cases hospitalizations and deaths please consider,PackerTamar,2021-08-28,21:38:13,1,negative,0.746062815,neutral,0.579794466,joy,0.996635139,negative,0.999271214,negative,0.548467696
51,our experts have created a video series on a variety of topics including vaccinations managing school anxiety bullying screen time kindergarten readiness and more theres lots of great advice and tips,HamHealthSci,2021-08-31,12:30:03,0,positive,0.940665841,positive,0.934582293,anger,0.359311014,positive,0.995832026,positive,0.462380767
52,great pub on burnout amongst microvascular surgeons a mentor once said that surgical disciplines can take well adjusted people and make them not so welladjusted dont forget to protect your protected days and always take vacation,DrJohndeAlmeida,2021-09-01,0:23:48,1,neutral,0.717870653,neutral,0.537195683,joy,0.996415138,positive,0.984707594,negative,0.389991403
53,very sad to hear this heartbreaking news  sincere condolences,AmitAryaMD,2021-09-01,2:24:41,0,negative,0.956019878,negative,0.619485199,joy,0.982046723,positive,0.759248853,negative,0.63694185
54,ontarios premier we didnt hesitate to put measures in place to protect peoples health amp safetyreality humanitarian crisis in ltc with deaths essential workers died waiting for paid sick days failed vaccine rollout still no proper plan to keep schools safe,AmitAryaMD,2021-09-01,17:36:08,1,negative,0.916279376,negative,0.755613685,joy,0.952688634,negative,0.999557078,negative,0.364229172
55,nothing elsesedentary but not more or less with covid no endocrino problem no alcohol no other med cd gt and undetectable x  no depression etc,sebpoule,2021-09-01,20:50:21,0,neutral,0.923313022,neutral,0.630936384,fear,0.486942381,negative,0.610243082,negative,0.483541906
56,no med no drug no alcohol no depressionoh wait i forgot shes pregnant,sebpoule,2021-09-02,1:09:40,0,neutral,0.776364565,neutral,0.537392437,sadness,0.975468993,positive,0.60380125,negative,0.35324496
57,so very sad  such an awesome person,arcandandrew,2021-09-02,2:53:08,0,neutral,0.395369977,negative,0.666148424,joy,0.994524479,positive,0.988935292,negative,0.476848483
58,with the unusual school year last year some kids may have anxiety about returning to inperson learning and potential learning gaps this is completely normal watch these videos for tips on managing anxiety,mch_childrens,2021-09-02,13:30:07,0,neutral,0.763908863,neutral,0.52687645,joy,0.42357257,negative,0.992086828,negative,0.394238472
59,its normal for kids to experience some anxiety around  especially after last years closures our experts have some great info and tips on schoolrelated anxiety,HamHealthSci,2021-09-02,15:12:24,0,neutral,0.564287603,positive,0.629793465,joy,0.991485417,negative,0.832155347,negative,0.509638846
60,its important to help your child work through their anxiety to support a smooth transition to the classroom watch this video to learn more,mch_childrens,2021-09-02,19:17:01,0,positive,0.566402674,positive,0.767514348,joy,0.998293459,positive,0.998692214,negative,0.419481665
61,lack of opto coverage is a major loss to ontario healthcare trust me when i say doctors ophthalmology excluded dont know eyes as well as our optometry colleagues dont trust us with your teeth either both should be covered,CarlyeJensen,2021-09-02,20:54:05,0,negative,0.974841774,negative,0.9229213,sadness,0.815499425,negative,0.99958998,negative,0.40365988
62,nishaan e mard e momin ba too goyamchoon marg aayad tabassum bar lab e oustlet me tell you the sign of a man of faithwhen death comes to him he has a smile on his lipsallama iqbal,zikrejaana,2021-09-04,15:13:01,0,neutral,0.503620684,neutral,0.499833882,joy,0.837193191,positive,0.957714736,positive,0.377865851
63,this is super interesting does an optimistic person experience less distress or are they less likely to report the distress they are feeling would be super interesting to look at biological metrics of stress and see how these overlay with selfreporting of distress,DoctorJSpicer,2021-09-05,17:10:44,1,neutral,0.802187443,positive,0.687346578,joy,0.997973859,positive,0.998926222,positive,0.381361097
64,im so sorry for your loss ,AmitAryaMD,2021-09-06,15:29:04,0,negative,0.81605649,negative,0.683654308,sadness,0.997115254,negative,0.9039222,negative,0.339400798
65,preorder s sorry for your loss its fantastic,tzippymfa,2021-09-06,18:07:18,0,positive,0.596974552,positive,0.494698465,joy,0.998603642,positive,0.962491572,negative,0.368341029
66,who else thinks that we should be talking about the pandemic deaths in ltc amp how were going to fix our broken eldercare system way more during ,AmitAryaMD,2021-09-09,16:00:20,0,negative,0.939662457,negative,0.745404959,sadness,0.99887377,negative,0.88850081,negative,0.427799106
67,yes kids are at high risk of getting infected from delta in particular given that they are largely not vaccinated and tend to have more close social contacts than most adults but they do not have the same risk for death not even close stating otherwise is misinformation,DocDominik,2021-09-09,19:53:06,0,negative,0.917733252,negative,0.825235367,fear,0.987233043,negative,0.999476612,negative,0.423456907
68,ive had pswshomecare workers warehouse workers whove died so am i supposed to take a cavalier attitude toward the fact my members have lost their lives on the front lines im going to honour their lives by doing the right thing dias said,JohnsonNeilG,2021-09-10,1:15:55,1,neutral,0.682985485,negative,0.511259496,anger,0.690410733,positive,0.861318231,negative,0.405459911
69,its world suicide prevention dayour health care experts share advice for young people and their families in hopes that it may help you navigate a very challenging and difficult space,mch_childrens,2021-09-10,17:23:50,0,neutral,0.715521991,positive,0.647680223,joy,0.983352304,positive,0.950662076,negative,0.403729707
70,we hope this series increases awareness of suicide risk encourages people to have important conversations about suicide reduces stigma and provides helpful suggestions for how to support youth,HamHealthSci,2021-09-10,18:22:02,0,positive,0.623635948,positive,0.766159475,joy,0.990106165,positive,0.987264991,negative,0.363994002
71,hi  you can contact hhs security to get a replacement badge and let them know your original badge has been lost security staff are available at all sites  except sph  am  midnight please call ahead ext  to ensure someone is actually present,HamHealthSci,2021-09-11,14:27:43,0,neutral,0.885626853,neutral,0.774795473,sadness,0.91176796,negative,0.811260104,negative,0.427549869
72,thanks irfan  it is sad that this needs to be said though healthcare is there for everyone who needs care regardless of the fact that we would want to have as many people vaccinated as possible which is in the best interest of the society at large,DocDominik,2021-09-12,17:29:39,0,neutral,0.84126246,neutral,0.553179502,joy,0.970700681,positive,0.983988345,negative,0.357734621
73,when it comes to packing school lunches one of our dietitians says dont stress it here are some suggestions as part of our video series,HamHealthSci,2021-09-13,12:24:01,0,neutral,0.882051587,neutral,0.832804799,joy,0.495822042,positive,0.986701906,positive,0.389339328
74,the idea of packing school lunches may seem like a daunting task to some parents dont stress it says one of our dietitians here are some suggestions for as part of our video series,mch_childrens,2021-09-13,12:55:01,0,neutral,0.696195543,neutral,0.720357776,joy,0.958689392,positive,0.998236418,positive,0.390426844
75,covid infection increases the risk of pregnancy loss premature birth blood pressure complications of pregnancy and a higher risk of severe covid says dr dustin costescu obstetriciangynecologist at hhs,HamHealthSci,2021-09-13,18:24:01,0,negative,0.926153779,negative,0.808116317,fear,0.716192722,negative,0.999283969,negative,0.663297713
76,experts at hhs answer some frequently asked questions to help ease some of the anxiety surrounding the covid vaccine in people of childbearing age,mch_childrens,2021-09-13,18:37:58,0,positive,0.595521092,neutral,0.72526443,fear,0.982308149,positive,0.955037713,neutral,0.346851915
77,in facing death concordia neuroscientist nadia chaudhri has built a lasting legacy and inspired thousands,RitaSuri27,2021-09-14,2:25:49,0,positive,0.705037832,positive,0.751217484,joy,0.997747958,positive,0.99665916,positive,0.393656254
78,covid infection increases the risk of pregnancy loss premature birth blood pressure complications of pregnancy and a higher risk of severe covid says dr dustin costescu obstetriciangynecologist at hhs,HamHealthSci,2021-09-14,14:09:01,0,negative,0.926153779,negative,0.808116317,fear,0.716192722,negative,0.999283969,negative,0.663297713
79,unless you consider accepting mass illness death and disability  collapse of healthcare systems to be a reasonable plan,lisa_iannattone,2021-09-16,2:52:54,1,negative,0.929474711,negative,0.812912881,joy,0.977248371,negative,0.996934772,negative,0.442018241
80,this benefits the white wealthy and privileged to have even more autonomy while sacrificing our most vulnerable those marginalized by sexism racism ageism and ableism to entirely avoidable premature deaths  ,Psych_MD,2021-09-16,14:45:17,0,negative,0.922918081,negative,0.5056265,fear,0.614296198,positive,0.989658654,negative,0.345094681
81,these people would want to live if given a true choice of life with dignity instead of the enticement of a painless death to escape a painful life  ,Psych_MD,2021-09-16,14:45:18,0,negative,0.698778868,neutral,0.520253181,love,0.79636234,negative,0.692124128,negative,0.338095218
82,it sacrifices them to these deaths under the pretence of autonomy  disregarding how internalized oppression  ref would force our most vulnerable to make an impossible and unfair choice to die well because society never gave them a chance to live well,Psych_MD,2021-09-16,14:45:18,0,negative,0.958915174,negative,0.960033536,fear,0.902234554,negative,0.950207114,negative,0.506146491
83,today ignoring the evidence prominent politicians senators and sadly some of my psychiatrist colleagues are similarly reassuring canadians that our wide maid expansion is enlightened and safe  ,Psych_MD,2021-09-16,14:45:19,0,neutral,0.723693311,neutral,0.53449291,joy,0.998827994,positive,0.888771236,positive,0.337245554
84,it may be safe for the privileged who already live well and will have more autonomy to die better for others the nondying disabled and marginalized whose social suffering will be solved with death it will eventually be called something else  ,Psych_MD,2021-09-16,14:45:20,0,negative,0.512668729,neutral,0.494482696,sadness,0.692318559,negative,0.99991405,negative,0.340215415
85,natural immunity in the us despite all the hype hasnt stopped them from surpassing deaths a day the pandemic didnt end in mid we keep losing time because of these predictions that encourage everyone to just wait it out,lisa_iannattone,2021-09-16,20:55:58,0,negative,0.858993649,negative,0.675823629,joy,0.971135139,positive,0.871240377,negative,0.395675957
86,excellent insight into radiologist burnout for providing this perspective and advice on mitigation strategies,CJFlegg,2021-09-17,0:17:20,1,neutral,0.554452419,positive,0.810092151,joy,0.994895995,positive,0.988270938,negative,0.458637506
87,good morning amp happy friday to everyone except ontarios minister of ltc who doesnt feel its necessary to remove forprofit companies from ltceven though they had a covid death rate x greater than municipal homes amp abandoned people to die from dehydrationoutrageous,AmitAryaMD,2021-09-17,11:48:00,0,negative,0.956749916,negative,0.622499168,joy,0.962259531,positive,0.928113043,negative,0.409736872
88,doctors in bc cant really do that their college asked them to refrain adding to the confusion and anxiety by posting alarming messages and more recently asked them to stop criticizing the response even in private forums the single source messaging in bc is no accident,lisa_iannattone,2021-09-19,12:43:37,1,negative,0.898324788,negative,0.715643108,anger,0.994368494,negative,0.919744015,negative,0.437691927
89,psa covid has shown us how voting is literally a matter of life amp death for those who are most vulnerable lets keep those we have lost during this pandemic in our hearts amp minds today,AmitAryaMD,2021-09-20,15:09:29,1,negative,0.748977304,neutral,0.522571325,fear,0.995519876,positive,0.96788007,neutral,0.354465812
90,in times of uncertainty people try to take control as a way to cope feelings of anxiety anger and frustration can bubble over when people feel a loss of control here are some tips to manage emotions brought on by covid,HamHealthSci,2021-09-21,14:34:01,1,neutral,0.675205112,negative,0.546712101,sadness,0.992133617,positive,0.957449734,neutral,0.339218229
91,for those quoting uk data suggesting that vaccines do not prevent hospital icuadmissions and death please read this vaccines are the best tool we have to mitigate the impact of the pandemic and to eventually move into an endemic state get the ,DocDominik,2021-09-22,13:12:35,0,neutral,0.785164714,neutral,0.523206413,joy,0.47536391,negative,0.829712391,negative,0.434337527
92,in times of uncertainty people try to take control as a way to cope feelings of anxiety anger and frustration can bubble over when people feel a loss of control here are some tips to manage emotions brought on by covid,HamHealthSci,2021-09-22,19:34:01,1,neutral,0.675205112,negative,0.546712101,sadness,0.992133617,positive,0.957449734,neutral,0.339218229
93,good news story  you may remember mike vannetten the chicken farmer from simcoe who nearly lost his life to covid his wife sarah is participating in s strides fundraising event this weekend to help raise funds for a new ecmo machine,HamHealthSci,2021-09-22,19:55:27,0,positive,0.723196626,positive,0.793304622,sadness,0.990995467,positive,0.994356573,negative,0.367902845
94,when youre months and waves into a crisis where the stakes are quite literally life and death and you messed it up this bad youre clearly not the person for the job and the fact that they cant own the failure and step down further proves that point,lisa_iannattone,2021-09-22,21:57:12,1,negative,0.977440119,negative,0.966350317,anger,0.767263293,negative,0.999827623,negative,0.518662035
95,with so many cases it was inevitable it would get into retirement and ltc homes exactly vaccinated residents cases hospitalisations amp deathsso how long before the live with covid crowd comes full circle and reverts back to shield the vulnerable,lisa_iannattone,2021-09-23,0:59:59,1,neutral,0.762242496,negative,0.694366813,fear,0.995390296,positive,0.503508687,negative,0.37495777
96,rt  family physicians have taken on a number of new roles during the pandemic thats only increased their workloadon top of that theyre dealing with the same distress and uncertainty as everybody else,allan_k_grillMD,2021-09-23,11:35:19,1,negative,0.901286006,negative,0.677134991,sadness,0.611503243,positive,0.949706554,negative,0.336046219
97,mike vannetten nearly lost his life to covid to honour him and the staff at hamilton general hospital mikes wife sarah is participating in this years strides fundraiser the hospital has angels walking within its walls says sarah,HamHealthSci,2021-09-24,14:13:02,0,neutral,0.748584688,neutral,0.603590608,joy,0.945346177,positive,0.998606265,negative,0.34786576
98,this is a really good idea improving access to testing especially in symptomatic school age kids will help reduce stress for parents amp families,allan_k_grillMD,2021-09-24,16:24:35,0,positive,0.971367121,positive,0.928186715,fear,0.39885813,positive,0.923996568,positive,0.434683025
99,how many of these articles is it going to take before someone finally attempts to quantify how much of the workforce weve lost to posticu syndrome and long covid,lisa_iannattone,2021-09-25,2:21:51,1,negative,0.881422222,negative,0.659271479,sadness,0.998333991,negative,0.989576936,negative,0.391224861
100,rt  the most important thingto avoid severe disease hospitalization death amp long covid is to reduce the spread of the coronavirusthe most effective way to do that is not through boostersbut by getting unvaccinated people vaccinated,allan_k_grillMD,2021-09-26,3:15:41,1,neutral,0.664042056,neutral,0.492964357,joy,0.964349449,positive,0.507455468,negative,0.348903596
101,such a powerful speech we need a global solution to this problem we need to make vaccine equity a priority how many more variants how many more deaths who will stand up,lisa_iannattone,2021-09-26,16:40:08,0,negative,0.577246368,positive,0.483542591,joy,0.974373221,positive,0.993372083,negative,0.371620923
102,yup canadian sadness until pm,arcandandrew,2021-09-26,23:45:50,0,negative,0.975041628,negative,0.516763628,joy,0.741578937,negative,0.743924856,negative,0.394288987
103,me too been watching my whole life super sad to miss acceptances and performances,arcandandrew,2021-09-27,1:14:56,0,negative,0.892172098,negative,0.727834463,joy,0.996525943,negative,0.980439603,negative,0.350393802
104,so sorry for your loss,lisa_iannattone,2021-09-27,14:21:01,0,negative,0.840544164,negative,0.778534114,sadness,0.995719492,negative,0.504485548,negative,0.520134032
105,this evolutionary adaptive mechanism aestivation explains the reasons for sarcopenia and hypertension in kidney failure and other conditions of water loss is aestivation at play in astronauts another amazing post by mythri shankar ,DrFlashHeart,2021-09-27,15:08:26,0,neutral,0.6646927,neutral,0.55613178,surprise,0.897748053,positive,0.999471962,negative,0.340333223
106,the entire family is deeply saddened by the passing of dr peter dent his vision for a worldclass childrens hospital serving children youth amp families led directly to who we are today we mourn but also celebrate his impact,BrucePSquires,2021-09-28,18:26:11,1,positive,0.826810777,neutral,0.426336378,sadness,0.997145116,positive,0.974409759,negative,0.359858513
