,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,TWEET,USERNAME,DATE,TIME,bertweet_label,bertweet_score,robertweet_label,robertweet_score,emotiontweet_label,emotiontweet_score,flairtweet_label,flairtweet_score,zeroshot_label,zeroshot_score,Final_label
10,10,10,10,perhaps the proposed cuts are why some doctors are considering leaving alberta may no longer be financially feasible to operate a small business in alberta job loss for supporting staff at doctors offices an unintended consequence of healthcare cuts to family docs,KimKellyMD,2020-01-14,06:00:02,negative,0.8944454193115234,negative,0.6800656914710999,joy,0.9549699425697328,negative,0.9684023261070251,negative,0.5047410726547241,negative
11,11,11,11,to our leaders is physician burnout your fault,PEAKMD,2020-01-18,13:03:52,negative,0.965968906879425,negative,0.774293065071106,anger,0.6383114457130432,negative,0.9406906366348268,negative,0.5595593452453613,negative
12,12,12,12,hearing stories of difficult travel today numerous medical students struggling to get to interviews why do we continue to have this histress hicost system we can do better,PEAKMD,2020-01-18,22:43:03,negative,0.9750478863716124,negative,0.5610005259513855,sadness,0.9425342679023744,negative,0.9996849298477172,negative,0.3879655301570892,negative
13,13,13,13,congrats well deserved happy to serve as your honorary international senior ambassador,ShelleyZieroth,2020-01-22,23:28:04,positive,0.9919405579566956,positive,0.9875407814979552,joy,0.997057318687439,positive,0.9924708604812622,positive,0.4411224126815796,positive
14,14,14,14,how about stress and burnout in the canadian workforce esp among professionals we depend upon for our own health such as physicians,PEAKMD,2020-01-23,23:59:49,negative,0.8774681687355042,neutral,0.5259342193603516,joy,0.9554736018180848,positive,0.9025216102600098,negative,0.6025918126106262,negative
15,15,15,15,you lost me smarty pants translation ,ShelleyZieroth,2020-01-29,03:01:12,negative,0.9715955257415771,negative,0.7725541591644287,sadness,0.8940487504005432,negative,0.9326610565185548,neutral,0.3699404597282409,negative
16,16,16,16,saw my psychologist today to discuss grief and workcareer stressors referred to her by pfsp,KimKellyMD,2020-01-29,22:37:38,neutral,0.9602519273757936,neutral,0.858880877494812,anger,0.9712222814559937,negative,0.7746543288230896,neutral,0.5022629499435425,neutral
17,17,17,17,i couldnt sleep in part unease about sharing yesterday that i have sought help to improve my  in part sadness that so few feel able to share their own struggles with and  ,KimKellyMD,2020-01-30,13:58:12,negative,0.7956632375717163,negative,0.6973477005958557,joy,0.996982991695404,negative,0.9970807433128356,negative,0.3622529208660126,negative
18,18,18,18,physicians die by suicide at x the rate of the general population culture will not change until our are vulnerable and courageous and rolemodel that we are not superhuman we struggle with and just like everybody else ,KimKellyMD,2020-01-30,13:58:14,negative,0.5775794386863708,negative,0.821847140789032,fear,0.9654704928398132,positive,0.6621769070625305,negative,0.3625630438327789,negative
19,19,19,19,trigger suicideremember  dont stop the discussion continue to listen without judgement when depression is like a cancer,DrMCGregoire,2020-02-03,06:10:57,negative,0.8090604543685913,negative,0.5223963856697083,sadness,0.5024290680885315,negative,0.9700154066085817,negative,0.5604869723320007,negative
20,20,20,20,radiolab dr death,kselandMD,2020-02-03,14:58:06,negative,0.9037583470344543,neutral,0.6193645000457764,anger,0.7036955952644348,negative,0.9999459981918336,negative,0.5385799407958984,negative
21,21,21,21,thread by nephrologist about death and dying in the st centuryblew me away,DocSchmadia,2020-02-04,01:50:16,neutral,0.6903464794158936,neutral,0.4951710700988769,sadness,0.6974616050720215,negative,0.9869856238365172,negative,0.368611216545105,negative
22,22,22,22,being able to bring a patient from the brink of death to being able to discharge that same patient home is hands down one of the best feelings and most humble experience in the world,CalvinTongMD,2020-02-04,02:49:12,positive,0.9871929883956908,positive,0.9781736731529236,joy,0.9927775859832764,positive,0.9987183809280396,positive,0.4434385001659393,positive
23,23,23,23,opportunity for all  amp earlycareer  join ambassador program before feb for a chance to attend a healthrelated event this year with your travel accommodation amp registration expenses covered,DoctorsOfBC,2020-02-05,22:46:46,positive,0.6590330004692078,positive,0.6236545443534851,joy,0.9934260845184326,positive,0.991063952445984,positive,0.3602128326892853,positive
24,24,24,24,so sad to have missed this thank you for all that we learn from you and now keith dont you forget the fish tacos,AnizKhalfan,2020-02-16,22:55:36,neutral,0.5421305298805237,positive,0.4862236082553863,sadness,0.9939975738525392,positive,0.9771783351898192,negative,0.3413338363170624,positive
25,25,25,25,the one thing challenging breast cancer for the dubious honour of cause of death in women  is opiate overdose,ShielaAppavoo,2020-02-17,02:28:31,negative,0.9548736810684204,negative,0.7075221538543701,anger,0.7799952626228333,negative,0.9939815402030944,negative,0.6826183795928955,negative
26,26,26,26,sounds incredible  awaiting her arrival in in a couple of months welcome home  so sorry for your loss,ShelleyZieroth,2020-02-19,20:36:31,positive,0.9905359148979188,positive,0.7852982878684998,joy,0.6433674097061157,positive,0.976123571395874,negative,0.411115437746048,positive
27,27,27,27,how very sad this all is sad most importantly for patients their families amp communities who may well lose their primary care physicians amp allied health care providers including nurses the landscape here in british columbia for primary care holds great promise our gov cares,awruddiman,2020-02-21,20:35:13,negative,0.8649126887321472,negative,0.5205051898956299,sadness,0.9702540636062622,positive,0.5720844268798828,negative,0.4060817658901214,negative
28,28,28,28,frequently seen issues in family practice that take  concussion depression anxiety cognitive impairment frail elderly chronic pain management unintendedpregnancy failure to thrive breastfeeding problems eating disorders accident follow up ,dr_oona,2020-02-22,06:24:55,negative,0.9650509357452391,negative,0.7913360595703125,sadness,0.7952000498771667,negative,0.9902860522270204,negative,0.3450797200202942,negative
29,29,29,29,in between patient visits family docs are reading patient consults and updating patient files managing requests for notesformslost prescriptions taking calls from patient caregivers writing meaningful referral letters oh and attending to biological needs,dr_oona,2020-02-22,16:14:33,neutral,0.9616171717643738,neutral,0.8892855048179626,joy,0.9835978150367736,positive,0.979774296283722,positive,0.3601422607898712,neutral
30,30,30,30,from stress to and  weight gain to high blood pressure and increased risk of heart attacks bullying has negative mental and physical effects is a serious problem that deserves a serious response ,DoctorsOfBC,2020-02-24,18:30:37,negative,0.9668904542922974,negative,0.9593812227249146,anger,0.8548688292503357,negative,0.9898527264595032,negative,0.6526439189910889,negative
31,31,31,31,shocked  to learn of my colleagues successful completion of suicide knowing his strong advocacy i think hed want us to say the words out loud to for physicians learners and patients rip dear colleague who constantly fought for a better system,KimKellyMD,2020-02-24,18:46:13,neutral,0.5415124893188477,positive,0.6066163182258606,anger,0.9664072394371032,positive,0.9915245175361632,negative,0.6300956606864929,positive
32,32,32,32,every year an estimated to people die in the world due to complications from seasonal influenza flu viruses this figure corresponds to to deaths per day due to the seasonal flu,awruddiman,2020-02-25,07:51:56,negative,0.95334655046463,negative,0.9257403016090392,fear,0.5711345672607422,negative,0.9983600974082948,negative,0.4465242922306061,negative
33,33,33,33,midwives see patientsyear thru pregnancy labor delivery amp postpartum care care for  patientsyear thru everything birth pregnancy teen mental health heart failure diabetes death etcno the two are just not the same,DocSchmadia,2020-02-25,12:00:08,negative,0.5157275199890137,negative,0.7346879243850708,sadness,0.7696520686149597,negative,0.9976983666419984,negative,0.4039063453674316,negative
34,34,34,34,sad truths stagnating alberta,KimKellyMD,2020-02-26,14:11:42,negative,0.974597156047821,negative,0.8585472106933594,sadness,0.9648526906967164,negative,0.9474068880081176,negative,0.517429769039154,negative
35,35,35,35,such sad news for  the keychain toys are essential in the for turning tears into smiles thanks for bringing magic to kids young and old for years,bechardmel,2020-02-27,01:59:37,positive,0.6274886727333069,positive,0.6234682202339172,joy,0.9983604550361632,positive,0.9951417446136476,positive,0.4137553870677948,positive
36,36,36,36,dr prince in medicine hat sounds the alarm he warns of a death spiral of physicians resources placing a burden on those who remain who in turn burn out quicker and give up themselves that is what he faced years ago,KimKellyMD,2020-02-28,21:12:54,negative,0.9020266532897948,negative,0.7108542919158936,anger,0.7677268385887146,negative,0.9805537462234496,negative,0.4249206781387329,negative
37,37,37,37,sadly im in agreement and am considering what are we doing about this in ,KimKellyMD,2020-02-29,01:49:30,neutral,0.5802435278892517,positive,0.5735868811607361,joy,0.7970811724662781,negative,0.9889792203903198,positive,0.4445321559906006,positive
38,38,38,38,nonuniversal health care and epidemic can become a perfect storm worries about medical bills and lost pay may hamper coronavirus efforts in the united states,DrMCGregoire,2020-03-03,05:37:17,negative,0.976477324962616,negative,0.7702308893203735,sadness,0.9959641695022584,negative,0.9919171929359436,negative,0.5207510590553284,negative
39,39,39,39,i have helped patients navigate life transitions like divorce childbearing menopause deathmy elderly patients have chosen me as their valentinei have done countless housecalls to better understand the frailty many elderly patients live with,DocSchmadia,2020-03-04,12:13:37,neutral,0.6178036332130432,positive,0.6514655947685242,sadness,0.8647698163986206,positive,0.9933100938796996,negative,0.3884776830673218,positive
40,40,40,40,taxpayers should be outraged in weeks has destroyed years of work to keep ab trained docs in ab this md grew up in barrhead planned to practice in ab and just accepted a job in bc corbella loss of doctors would hurt all albertans,KimKellyMD,2020-03-04,15:55:24,negative,0.9414971470832824,negative,0.8660416007041931,anger,0.9967617392539978,negative,0.9998964071273804,negative,0.4299582540988922,negative
41,41,41,41,a sat phone or cb radio in a true emergency keeping informed amp up to date is paramount would have to assume in a catastrophic emergency all bets are off  disruption of civility loss of law amp order depletion of store bought goods  sold  looting etc,awruddiman,2020-03-04,20:37:18,negative,0.955248475074768,negative,0.5837418437004089,fear,0.3411096036434173,negative,0.9932938814163208,neutral,0.4124324917793274,negative
42,42,42,42,loss of funding for is devastating for  local data shows at least half of perinatal patients struggle w mental health issues how can we support these families,dr_oona,2020-03-06,02:31:34,negative,0.9003175497055054,negative,0.8888261914253235,sadness,0.9872190952301024,negative,0.9935765862464904,negative,0.6393989324569702,negative
43,43,43,43, at first the number seems staggering right question i would pose is this for individual folks is this loss really a true measure of the impact on our quality of life or is this a crude measure of the insatiable appetite modern society has for mass consumerism,awruddiman,2020-03-06,16:54:12,neutral,0.501672625541687,neutral,0.4878136813640594,joy,0.9892561435699464,negative,0.9999321699142456,negative,0.4100719690322876,negative
44,44,44,44,today im a family member of a of patient using the healthcare system have spoken with allied healthcare staff who are stressed about losing their jobs workloads increasing because of less overtime allowed and increasing burnout of themselves and colleagues,KimKellyMD,2020-03-06,20:48:58,negative,0.8812514543533325,negative,0.7680202126502991,anger,0.9212983846664428,positive,0.9970390796661376,negative,0.4810292720794678,negative
45,45,45,45,this is amazing and sad absolutely true that every line in there is tweetable,DocMcConks,2020-03-07,02:04:22,positive,0.8302379250526428,positive,0.9779286980628968,joy,0.887428343296051,positive,0.973042905330658,negative,0.3852052688598633,positive
46,46,46,46, this truly is both a landmark and epic canadian road trip for an all electric vehicle not a controlled environment but actual winter conditions range anxiety is truly a nonissue for those thinking of switching to an ,awruddiman,2020-03-08,13:26:44,neutral,0.7310127019882202,positive,0.7878339886665344,joy,0.5859285593032837,positive,0.999640703201294,negative,0.3888529241085052,positive
47,47,47,47,very well played in the  a very well deserved bronze medal win over the  while my rugby heart emotionally always lies with the country of my upbringing  my true heart is so proud for my adoptive country amp the land of my citizenship ,awruddiman,2020-03-09,02:44:03,positive,0.9913924932479858,positive,0.9645615816116332,joy,0.9961369633674622,positive,0.9971133470535278,negative,0.3837142586708069,positive
48,48,48,48,overdose deaths are at the lowest levels in more than three years so and how do you justify discontinuing programs that are working like ioat and scs,KimKellyMD,2020-03-09,18:09:13,negative,0.9716436862945556,negative,0.7871314883232117,sadness,0.8559702634811401,negative,0.9992104768753052,negative,0.4285905957221985,negative
49,49,49,49,containment is the only way to decrease the number of hospitalizations and deaths from ,DocSchmadia,2020-03-11,12:04:22,neutral,0.873475968837738,neutral,0.6112540364265442,joy,0.5230713486671448,positive,0.9448596835136414,positive,0.689852774143219,neutral
50,50,50,50,very sad news please if you are hoarding ppe mask gloves gowns at home and you dont need them please share them with front line health care workers who put their lives at risk to provide care to the population worldwide supplies are low,DrMCGregoire,2020-03-12,19:14:07,negative,0.9536643624305724,negative,0.9243495464324952,sadness,0.9956566095352172,negative,0.916763722896576,negative,0.3957859873771667,negative
51,51,51,51,sad to not see everyone but your safety is most important thank you to executive pc  faculty  our sponsors for your support as we go virtual,ShelleyZieroth,2020-03-12,19:28:49,positive,0.8441210985183716,positive,0.6949682235717773,joy,0.995456337928772,positive,0.911916732788086,neutral,0.3574300408363342,positive
52,52,52,52,many family doctors will step up to help in the care of patients with and without  i certainly will yet there is a global shortage of face masks hospitals have stockpiles but family doctor offices do notim sorry to hear of this fine doctors death,DocSchmadia,2020-03-13,10:24:12,negative,0.7713966965675354,neutral,0.4601589143276214,joy,0.73762446641922,positive,0.7081426382064819,negative,0.4653021693229675,negative
53,53,53,53,a lot of stress that has been so very palpable all day long today at the clinic covid will have a tremendous mental health toll lets all do our bit to support one another,AnizKhalfan,2020-03-14,04:18:55,negative,0.8396222591400146,neutral,0.4607340097427368,joy,0.9015354514122008,positive,0.9975691437721252,negative,0.4261700809001922,negative
54,54,54,54, in the case of widespread community transmission ongoing people with mild symptoms should self isolate since testing will not change their management but rather add burden to an already stressed healthcare system they should assume they are positive and stay home,parsnipper,2020-03-14,18:21:25,neutral,0.8192319273948669,negative,0.5529932379722595,sadness,0.8780750036239624,negative,0.8853107690811157,negative,0.3503786623477936,negative
55,55,55,55,great question  on a global basis most of us canadians live amp lead rather sheltered amp insulated personal health journeys unlike where i trained in africa  we canadians arent familiar with perpetual lives lost to epidemics or endemic diseases,awruddiman,2020-03-14,21:30:20,negative,0.727819561958313,negative,0.6363880038261414,joy,0.4833244979381561,negative,0.74419105052948,negative,0.4614511728286743,negative
56,56,56,56,many ways to draw talent and expertise back in to the healthcare professions when facing a profound potential draw and draw down fatigue  burnout  exhaustion  illness related to a health pandemic great suggestion,awruddiman,2020-03-14,21:33:29,neutral,0.7431173324584961,positive,0.4688702821731567,joy,0.7624260187149048,positive,0.998762845993042,positive,0.4611665904521942,positive
57,57,57,57,these are tough times many are scared of  rightly soi just delivered toilet paper to an elderly patient shelves are emptyi just heard that there was a death in ontario of an elderly patient who tested positive bringing the total to among cases in canada,DocSchmadia,2020-03-17,16:30:01,negative,0.9607449173927308,negative,0.7766584753990173,fear,0.9933250546455384,negative,0.951322615146637,negative,0.47299525141716,negative
58,58,58,58,this article is causing so much distress should have carefully considered the title and a clear interpretation for people who dont study infection control to avoid the panic,parsnipper,2020-03-18,14:28:24,negative,0.9651700854301452,negative,0.9055195450782776,fear,0.7665156126022339,negative,0.9999799728393556,negative,0.4153883457183838,negative
59,59,59,59,great article with practical information on helping kids cope with anxiety,DoctorsOfBC,2020-03-18,18:06:01,positive,0.9564394354820251,positive,0.8972711563110352,fear,0.4063429534435272,positive,0.9906863570213318,positive,0.4269800782203674,positive
60,60,60,60,for the young nonhcw ppl who dont understand all the hullabaloo and are worried about economic insecurityloss of freedom try not to futurize  whatif too much just suspend judgement instill faith in this process we need your participation for it to work,parsnipper,2020-03-19,18:30:27,neutral,0.6949267387390137,neutral,0.5557215809822083,fear,0.9881000518798828,negative,0.9953836798667908,negative,0.3797393441200256,negative
61,61,61,61,admitted a young man to hospital today for respiratory distress likely due to covid remember just because it mostly harms the elderly doesnt mean it only harms the elderly stay safe and isolate,indysahota,2020-03-20,06:52:19,negative,0.6261007189750671,negative,0.737467348575592,joy,0.6812382340431213,positive,0.9365381598472596,negative,0.4153797924518585,negative
62,62,62,62,i was on call for the past hthe anxiety was intense im waiting for the surge to hit my local community hospital others have already started feeling the incredible pressureall those sick peopleso i come home my husbands keeps back my kids i decontaminate myself,DocSchmadia,2020-03-21,23:28:10,negative,0.9600611329078674,negative,0.8854222297668457,joy,0.9195512533187866,positive,0.9356632828712464,negative,0.3941646218299866,negative
63,63,63,63,i avoid my parents they are elderly my mom on immunosuppressants my dad heart failurei saw them today they drove by parked across the street watched my kids bike ride laughingwaved to me too scared to leave the car we airhugged my dad got sad so they left,DocSchmadia,2020-03-21,23:28:11,negative,0.9777159094810486,negative,0.9177071452140808,fear,0.6957643032073975,negative,0.5215833783149719,negative,0.4322601854801178,negative
64,64,64,64,thank you sorry for your loss,KimKellyMD,2020-03-22,15:39:11,neutral,0.5859607458114624,neutral,0.4658061563968658,sadness,0.9861094355583192,negative,0.8433805704116821,negative,0.4842964112758636,negative
65,65,65,65,in bed scrolling twitter with tears rolling down my face reading about the docs in seattle nyc etc working in hospitals completely overwhelmed with covid cases and having to cope with so many deaths including their fellow docs i am terrified to face the next few weeks,kselandMD,2020-03-23,06:20:07,negative,0.9720521569252014,negative,0.963401198387146,fear,0.9959926009178162,negative,0.999477207660675,negative,0.4621421098709106,negative
66,66,66,66,by pres i dont know what history will say about us but i will always remember that despite the fear anxiety and stress it was the kindness generosity and courage of people that shone through,DocSchmadia,2020-03-25,00:29:16,positive,0.9559441804885864,positive,0.8159001469612122,joy,0.8543584942817688,positive,0.997498333454132,positive,0.3909988403320312,positive
67,67,67,67,and mr pg lost to goats,kselandMD,2020-03-26,22:00:52,negative,0.9284350275993348,negative,0.640225887298584,sadness,0.5550694465637207,negative,0.9774317741394044,negative,0.4604307413101196,negative
68,68,68,68,does not mean we have to be emotionally or socially isolated from friends and family hosted an online family forum tonight connecting some of our gang from   and ,awruddiman,2020-03-27,05:53:52,neutral,0.959080457687378,neutral,0.794895589351654,sadness,0.99828040599823,negative,0.7105472683906555,neutral,0.3554377555847168,neutral
69,69,69,69,epidemiologists are used to working with imperfect data the goal is not necessarily to identify every single case hospitalizations  health cafe workers with infections and deaths are sentinel events that give us estimates of disease burden in the community,parsnipper,2020-03-27,22:30:51,neutral,0.5437955260276794,neutral,0.5762782692909241,sadness,0.9404616951942444,negative,0.992527723312378,negative,0.4143231511116028,negative
70,70,70,70,truly saddened to hear this my sincere condolences to her family friends colleagues she touched us all and brightened our lives,PEAKMD,2020-03-28,02:02:02,positive,0.9783897399902344,positive,0.5131406188011169,joy,0.6013633012771606,positive,0.9835343956947328,negative,0.3897363245487213,positive
71,71,71,71,appreciating the app text covidhope to to receive messages of encouragement to help ease stress and anxiety thanks amp ,KimKellyMD,2020-03-28,15:14:57,positive,0.9827537536621094,positive,0.9664610028266908,joy,0.8463078141212463,positive,0.994426727294922,positive,0.4081314504146576,positive
72,72,72,72,thank you this is awesome  unbelievably sad funny wise and hopeful,PEAKMD,2020-03-29,16:19:10,positive,0.991359531879425,positive,0.9737105369567872,joy,0.9983528852462769,positive,0.9978641867637634,positive,0.4538068771362304,positive
73,73,73,73,the physician health program is providing by phone or videoconferencing for physicians physician trainees and family members feeling overwhelmed and needing support during these stressful times details here,DoctorsOfBC,2020-03-31,18:01:33,neutral,0.7977293133735657,neutral,0.7440148591995239,fear,0.759027898311615,positive,0.8562993407249451,positive,0.4761180579662323,neutral
74,74,74,74,brainless distractions tonight in the midst of all the emotional fatigue starting to ready our vw camper bus for another season fingers crossed added a few more memorable stickers to the road warrior nelson,awruddiman,2020-04-01,03:06:32,neutral,0.64731365442276,positive,0.4984217882156372,joy,0.9958329796791076,negative,0.7300959229469299,negative,0.3551511168479919,negative
75,75,75,75,a huge loss to the international scientific community world renowned south african hiv research scientist prof gita ramjee dies of related complications,awruddiman,2020-04-01,03:22:29,negative,0.9341326951980592,negative,0.8697218298912048,sadness,0.9099969863891602,negative,0.9999473094940186,negative,0.4498290419578552,negative
76,76,76,76,physicians in a time of increased stress amp anxiety talking to your peers can help were offering free zoom w psychiatrist dr jennifer russel amp phps roxanne joyce email peersupportcom for link details,DoctorsOfBC,2020-04-01,18:19:05,neutral,0.904201865196228,neutral,0.5400142073631287,joy,0.9847122430801392,negative,0.9842788577079772,neutral,0.5397040247917175,neutral
77,77,77,77,okay ill bite  lets frame this a bit for many of the causes of death on that list there are in many many cases either a prevention management or definitive treatment im thinking vaccines meds seatbelts counseling  nothing bud we square,awruddiman,2020-04-02,01:23:53,neutral,0.6510120630264282,negative,0.5736947059631348,joy,0.9959555864334106,negative,0.9912704229354858,negative,0.4047988951206207,negative
78,78,78,78,very sad i knew two of them in memoriam healthcare workers who have died of covid via,JeanSeely,2020-04-02,13:02:16,negative,0.8735265135765076,negative,0.9092493653297424,sadness,0.9975800514221193,negative,0.7930639982223511,negative,0.5044504404067993,negative
79,79,79,79,one day we will look back and understand what we did rightwhat we did wrongwe will mourn those who sacrificed those whom we lost to and most of all we will celebrate survivingone day we will rebuild our world post ,DocSchmadia,2020-04-02,23:41:12,neutral,0.7696421146392822,positive,0.5302740931510925,sadness,0.9903520941734314,positive,0.9913731217384338,negative,0.3485572338104248,positive
80,80,80,80,at her briefing today dr bonnie henry urged british columbians to see their own doctor for medical care  virtual care keeps patients and physicians safe stresses the importance of continuity of care,DoctorsOfBC,2020-04-03,22:55:48,neutral,0.6842049956321716,neutral,0.651049017906189,joy,0.9972755312919616,positive,0.8878655433654785,negative,0.3427844643592834,neutral
81,81,81,81,these are deaths not number of cases,Kidsbonedoc,2020-04-04,14:42:55,negative,0.8864343166351318,negative,0.8000587224960327,anger,0.4533341825008392,negative,0.996410310268402,negative,0.592959463596344,negative
82,82,82,82,we all die its scary yet true but a good death matters as much as a good lifedying on a machine is not how i want to die ever most doctors i know agreethats why mattersa matters especially nowvia ,DocSchmadia,2020-04-05,14:51:02,neutral,0.6307413578033447,negative,0.5248476266860962,joy,0.6842732429504395,positive,0.8605059385299683,negative,0.354898989200592,negative
83,83,83,83,thanks kyle really sad the reach and scope of this pandemic it knows no boundaries,awruddiman,2020-04-06,00:36:24,negative,0.9723435640335084,negative,0.9137552976608276,sadness,0.8457963466644287,negative,0.9687271118164062,negative,0.4816131293773651,negative
84,84,84,84,thank you extra sad and unsettling  unnerving when the indiscriminate nature of this pandemic knocks on the door of those near and dear to you,awruddiman,2020-04-06,00:38:50,negative,0.974675714969635,negative,0.9413373470306396,fear,0.861973762512207,negative,0.8783666491508484,negative,0.605446457862854,negative
85,85,85,85,thank you gigi this pandemic is certainly changing the world in ways only three months ago we would not have imagined amongst the heroics the service of frontline healthcare workers amp the the pulling together there are so many families globally who are encountering sadness,awruddiman,2020-04-06,00:56:31,positive,0.8159853219985962,positive,0.4643398523330688,sadness,0.8268629908561707,positive,0.9895562529563904,negative,0.4123512506484985,positive
86,86,86,86,sorry about your loss  may your colleague rest in peace condolences to family amp friends please take care,SammyChuMD1,2020-04-07,10:19:25,neutral,0.5349891781806946,neutral,0.5614562630653381,joy,0.6341006755828857,negative,0.6520472168922424,negative,0.5092927813529968,negative
87,87,87,87,in general resilient people have intensely negative reactions to trauma they experience despair and stress and acknowledge the horror of whats happening but even in the darkest of places they see glimmers of light and this ultimately sustains them,bechardmel,2020-04-08,00:26:10,neutral,0.8441328406333923,neutral,0.5591251850128174,fear,0.3566305041313171,positive,0.9996275901794434,negative,0.4051544070243835,neutral
88,88,88,88,interesting article on model of  however some have criticized that the model underestimates no of cases amp deaths,SammyChuMD1,2020-04-08,14:11:52,neutral,0.6977713108062744,neutral,0.5502305626869202,anger,0.9770136475563048,negative,0.6764607429504395,negative,0.6150131821632385,negative
89,89,89,89,luckily we get to throw around opinions on twitter my opinion is that trying to compare deaths from covid during a period of low prevalence but potential exponential transmission to a disease which has a relatively stable mortality rate is meaningless foresttrees stuff,parsnipper,2020-04-09,19:29:46,negative,0.6307817697525024,negative,0.7511340379714966,sadness,0.7074634432792664,negative,0.9971641898155212,negative,0.3921219706535339,negative
90,90,90,90,agree the overall mortality rate is important deaths that occur due to our response to covid are important too and they will occur its a very challenging balancing act about life economy culture safety political stability none of us can truly know where the balance lies,parsnipper,2020-04-09,19:52:49,negative,0.5788406729698181,neutral,0.5310249328613281,joy,0.9496177434921264,positive,0.8786430954933167,negative,0.4186970889568329,negative
91,91,91,91,the methanol overdose deaths wow,parsnipper,2020-04-09,20:03:05,negative,0.9601823091506958,negative,0.8997707962989807,fear,0.922093152999878,negative,0.9908053874969482,negative,0.5985279083251953,negative
92,92,92,92,your son is beautiful and sadly i agree with your assessment i hope he never gets ,DocSchmadia,2020-04-10,11:02:28,neutral,0.5047335624694824,positive,0.7225379943847656,joy,0.9885988235473632,positive,0.9713056087493896,negative,0.4573771357536316,positive
93,93,93,93,frances perkins deserves more credit for what she accomplished for fdrs new deal during the great depression,SammyChuMD1,2020-04-11,00:54:37,positive,0.755081057548523,positive,0.7728968262672424,joy,0.9540634751319884,positive,0.6079131960868835,positive,0.4346173703670501,positive
94,94,94,94,thank you for sharing doug glad you feel they will be of use reducing anxiety and caring for ourselves is so important during this time,BCFamilyDoctors,2020-04-16,21:39:53,positive,0.9805986881256104,positive,0.9559890627861024,love,0.9903941750526428,positive,0.9384632706642152,positive,0.4074500799179077,positive
